DEBUG 2018-08-22 09:49:14,597 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.243) CREATE TABLE `wz_vehicle_info` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `vin` varchar(17) NOT NULL UNIQUE, `six_yards` varchar(6) NOT NULL, `vehicle_type` varchar(128) NOT NULL, `guidance_price` numeric(10, 2) NOT NULL, `status` smallint UNSIGNED NOT NULL, `storage_date` date NOT NULL, `out_date` date NOT NULL, `remarks` varchar(128) NOT NULL, `department_id` integer NOT NULL); args=None
DEBUG 2018-08-22 09:49:14,599 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,600 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,601 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,603 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,604 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,606 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,607 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,619 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.010) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,620 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,621 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'wz_vehicle_info'; args=['wz_vehicle_info']
DEBUG 2018-08-22 09:49:14,632 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: ALTER TABLE `rbac_detailinfo` ADD COLUMN `vehicle_id` integer NOT NULL; (params [])
DEBUG 2018-08-22 09:49:15,192 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.560) ALTER TABLE `rbac_detailinfo` ADD COLUMN `vehicle_id` integer NOT NULL; args=[]
DEBUG 2018-08-22 09:49:15,194 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:15,225 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_auditing_name_id_011fd07f_fk_wz_userinfo_id` FOREIGN KEY (`auditing_name_id`) REFERENCES `wz_userinfo` (`id`); (params ())
DEBUG 2018-08-22 09:49:16,070 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.845) ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_auditing_name_id_011fd07f_fk_wz_userinfo_id` FOREIGN KEY (`auditing_name_id`) REFERENCES `wz_userinfo` (`id`); args=()
DEBUG 2018-08-22 09:49:16,071 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_department_id_e2784e6a_fk_wz_department_id` FOREIGN KEY (`department_id`) REFERENCES `wz_department` (`id`); (params ())
DEBUG 2018-08-22 09:49:16,869 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.799) ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_department_id_e2784e6a_fk_wz_department_id` FOREIGN KEY (`department_id`) REFERENCES `wz_department` (`id`); args=()
DEBUG 2018-08-22 09:49:16,869 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_report_name_id_3b9f5bcd_fk_wz_userinfo_id` FOREIGN KEY (`report_name_id`) REFERENCES `wz_userinfo` (`id`); (params ())
DEBUG 2018-08-22 09:49:17,679 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.809) ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_report_name_id_3b9f5bcd_fk_wz_userinfo_id` FOREIGN KEY (`report_name_id`) REFERENCES `wz_userinfo` (`id`); args=()
DEBUG 2018-08-22 09:49:17,680 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_settlement_name_id_dc9951c2_fk_wz_userinfo_id` FOREIGN KEY (`settlement_name_id`) REFERENCES `wz_userinfo` (`id`); (params ())
DEBUG 2018-08-22 09:49:18,506 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.826) ALTER TABLE `rbac_detailinfo` ADD CONSTRAINT `rbac_detailinfo_settlement_name_id_dc9951c2_fk_wz_userinfo_id` FOREIGN KEY (`settlement_name_id`) REFERENCES `wz_userinfo` (`id`); args=()
DEBUG 2018-08-22 09:49:18,507 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: ALTER TABLE `wz_vehicle_info` ADD CONSTRAINT `wz_vehicle_info_department_id_acbd7ecd_fk_wz_department_id` FOREIGN KEY (`department_id`) REFERENCES `wz_department` (`id`); (params ())
